word,number
مهجور,-2
الهجر,-2
خطف,-2
اختطاف,-2
عمليات الاختطاف,-2
يبغض,-3
مكروه,-3
مقيت,-3
يمقت,-3
قدرات,2
قدرة,2
على متن سفينة,1
متغيب عن العمل,-1
الغائبين,-1
يعفي,2
غفران,2
يعفي,2
الغفران,2
يمتص,1
تعاطي,-3
سوء المعاملة,-3
التجاوزات,-3
تَعَسُّفيّ,-3
قبول,1
وافقت,1
القبول,1
يقبل,1
حادثة,-2
عرضي,-2
بطريق الخطأ,-2
الحوادث,-2
ينجز,2
مُتَفَوِّق,2
ينجز,2
الاتهام,-2
اتهامات,-2
اتهم,-2
المتهم,-2
يتهم,-2
يتهم,-2
وجع,-2
قابل للتحقيق,1
وجع,-2
تبرئ,2
يبرئ,2
تبرأت,2
البراءة,2
لاذع,-3
نشيط,1
مناسب,1
معجب,3
معجب,3
معجب,3
الإعجاب,3
يعترف,-1
يعترف,-1
اعترف,-1
عتاب,-2
حذر,-2
يتبنى,1
يتبنى,1
بديع,3
أعشق,3
محبوب,3
يعشق,3
المتقدمة,1
مميزات,2
مزايا,2
مفامرة,2
مغامرات,2
مغامر,2
متأثر,-1
تاثير,3
حنونة,3
منكوبة,-1
مهان,-1
خائف,-2
تزيد من حدة,-2
تفاقم,-2
تفاقم,-2
المشددة,-2
عدوان,-2
الاعتداءات,-2
عنيف,-2
مذعور,-2
agog,2
يتألم,-3
مؤلم,-3
يتألم,-3
مبرح,-3
يتألم,-3
مؤلم,-3
يتألم,-3
مبرح,-3
يوافق على,1
مقبول,2
متفق عليه,1
اتفاق,1
يوافق,1
إنذار,-2
منزعج,-2
مثير للقلق,-2
مذعورين,-2
واحسرتاه,-1
إنذار,-1
نقل ملكية,-2
على قيد الحياة,1
الحساسية,-2
السماح,1
وحده,-2
تدهش,2
مندهش,2
يذهل,2
رائعة حقا,4
طموح,2
مشاعر متناقضة,-1
سلى,3
مسليا,3
تسلية,3
الملاهي,3
الغضب,-3
غضب,-3
غاضب,-3
معاناة,-3
حزين,-3
العداء,-2
تزعج,-2
إزعاج,-2
متضايق,-2
مزعج,-2
يضايق,-2
عدائي,-2
مضاد,-1
ترقب,1
القلق,-2
قلق,-2
لا مبالي,-3
اللامبالاة,-3
أبيشيت,-3
المروع,-2
يعتذر,-1
اعتذر,-1
يعتذر,-1
الاعتذار,-1
يعتذر,-1
اعتذر,-1
يعتذر,-1
الاعتذار,-1
اعتذار,-1
مروع,-2
مروعة,-2
يسترضى,2
استرضاء,2
يسترضي,2
استرضاء,2
صفق,2
صفق,2
تصفيق,2
يصفق,2
تصفيق,2
يقدر,2
محل تقدير,2
تقدر,2
تقدير,2
تقدير,2
متخوف,-2
موافقة,2
وافق,2
يوافق,2
متحمس,1
يقبض على,-2
القى القبض,-3
اعتقالات,-2
متكبر او مغرور,-2
عار,-2
خجلان,-2
مؤخرة,-4
اغتيال,-3
اغتيالات,-3
أصل,2
أصول,2
أسفوكينج,-4
الأحمق,-4
مندهش,2
الذهول,3
بالذهول,3
مذهل,3
بشكل مذهل,3
يذهل,3
هجوم,-1
هاجم,-1
مهاجمة,-1
الهجمات,-1
جذب,1
ينجذب,1
جذب,2
جاذبية,2
عوامل الجذب,2
يجذب,1
جريء,3
السلطة,1
تجنب,-1
تجنبها,-1
يتجنب,-1
متعطشا,2
تجنب,-1
تجنبها,-1
يتجنب,-1
انتظر,-1
في انتظار,-1
ينتظر,-1
جائزة,3
منحت,3
الجوائز,3
رائع,4
مريع,-3
غير ملائم,-2
فأس,-1
مفصول,-1
المدعومة,1
دعم,2
ظهورهم,1
سيئ,-3
"صلب، قوي",-3
بشكل سيئ,-3
إنقاذ,-2
خدع,-2
خداع,-2
البامبو,-2
المنع,-2
نفي,-1
مفلس,-3
بانكستر,-3
محظور,-2
مساومة,2
حاجز,-2
نذل,-5
الأوغاد,-5
معركة,-1
المعارك,-1
للضرب,-2
جميل,3
الضرب,-1
الجمال,3
جميلة,3
جميل,3
تجميل,3
استخفاف,-2
استخفاف,-2
محبوب,3
المنفعة,2
فوائد,2
استفاد,2
يستفيد,2
تحل,-2
ثكلى,-2
يجرح,-2
بيروفينج,-2
الأفضل,3
يخون,-3
خيانة,-3
خيانة,-3
خيانة,-3
يخون,-3
أفضل,2
تحيز,-1
انحيازا,-2
كبير,1
عاهرة,-5
العاهرات,-5
مر,-2
بمرارة,-2
غريب,-2
بلاه,-2
إلقاء اللوم على,-2
اللوم,-2
اللوم,-2
إلقاء اللوم,-2
يبارك,2
بركات,2
بركة,3
أعمى,-1
النعيم,3
هناء,3
مرح,2
الكتلة,-1
اقبال,3
منعت,-1
الحجب,-1
كتل,-1
دموي,-3
ضبابية,-2
متبجح,-2
بالخط العريض,2
بكل جرأة,2
قنبلة,-1
تعزيز,1
عزز,1
التعزيز,1
يعزز,1
تجويف,-2
ضجر,-2
ممل,-3
يزعج,-2
ازعجت,-2
يزعج,-2
مزعج,-2
مقاطعة,-2
قاطع,-2
المقاطعة,-2
المقاطعات,-2
غسيل دماغ,-3
شجاع,2
اختراق,3
لالتقاط الأنفاس,5
رشوة,-3
مشرق,1
ألمع,2
سطوع,1
متألق,4
انتعش,2
حطم,-1
مكسور,-1
الحضن,-2
تخويف,-2
هراء,-4
متنمر,-2
تنمر,-2
المشكله,-2
مزدهر,2
حرج,-2
مثقلة,-2
إرهاق,-2
أعباء,-2
هدوء,2
هدأ,2
تهدئة,2
يهدئ,2
لا أستطيع الوقوف,-3
إلغاء,-1
ألغيت,-1
الإلغاء,-1
يلغي,-1
سرطان,-1
قادر,1
مأسور,3
رعاية,2
براحة البال,1
حذر,2
بحرص,2
غير مبالي,-2
يهتم,2
صرف,-2
ضحية,-2
نكبة,-3
كارثي,-4
الحذر,-1
احتفل,3
احتفل,3
تحتفل,3
الاحتفال,3
الرقيب,-2
رقابة,-2
الرقباء,-2
تأكيد,1
استياء,-2
منزعج,-2
تحدي,-1
صدفة,2
الفرص,2
فوضى,-2
فوضوية,-2
متهم,-3
شحنة,-2
سحر,3
ساحر,3
ساحر,-3
عاقب,-3
تأديب,-3
يؤدب,-3
تأديب,-3
يغش,-3
خدع,-3
الغشاشة,-3
الغشاشون,-3
غش,-3
يشجع,2
ابتهج,2
مبتهج,2
هتاف,2
كئيب,-2
في صحتك,2
مبتهج,3
يعتز,2
عزيز,2
يعتز,2
نعتز به,2
أناقة,2
طفولي,-2
يسترخي,-1
خنق,-2
مخنوق,-2
الاختناقات,-2
الاختناق,-2
يوضح,2
وضوح,2
اشتباك,-2
أنيق,3
ينظف,2
منظف,2
صافي,1
مسح,1
بوضوح,1
يزيل,1
ماهر,2
غائم,-1
جاهل,-2
الديك,-5
الحقير,-5
الحقير,-5
مغرور,-2
بالإكراه,-2
انهدام,-2
انهار,-2
ينهار,-2
الانهيار,-2
تصطدم,-1
يصطدم,-1
تصادم,-1
تصادم,-2
الاصطدامات,-2
تواطؤ,-3
قتال,-1
المعارك,-1
كوميديا,1
راحة,2
مريح,2
مطمئن,2
وسائل الراحة,2
أثني,2
أثنى,2
ارتكب,1
التزام,2
يرتكب,1
ملتزم,1
يلتزم,1
حنون,2
مجبرا,1
كفؤ,2
منافس,2
راضية,-2
تذمر,-2
اشتكى,-2
يشكو,-2
شاملة,2
تصالح,2
مصالحة,2
المصالحة,2
مصالحة,2
ادانة,-2
إدانة,-2
مدان,-2
يدين,-2
الثقة,2
واثق,2
نزاع,-2
متضاربة,-2
صراع,-2
الصراعات,-2
يربك,-2
خجول,-2
مربك,-2
مبروك,2
تهنئة,2
تهنئة,2
تهانينا,2
موافقة,2
موافقات,2
عزاء,2
مؤامرة,-3
مقيدة,-2
مرض معد,-2
العدوى,-2
معدي,-1
ازدراء,-2
ازدراء,-2
بازدراء,-2
يناقش,-1
المنافس,-1
تنافس,-1
إثارة للخلاف,-2
قابل للنزاع,-2
مثيرة للجدل,-2
بشكل مثير للجدل,-2
يقنع,1
مقتنع,1
يقنع,1
بهيج,2
بارد,1
أشياء رائعة,3
محاصر,-2
جثة,-1
مكلفة,-2
شجاعة,2
شجاع,2
مهذب,2
مجاملة,2
التستر,-3
جبان,-2
جبان,-2
الراحة,2
شد عضلي,-1
حماقة,-3
يصطدم,-2
أكثر جنونًا,-2
جنونا,-2
مجنون,-2
خلاق,2
crestfallen,-2
بكت,-2
صرخات,-2
جريمة,-3
مجرم,-3
المجرمين,-3
أزمة,-3
الناقد,-2
نقد,-2
ينتقد,-2
انتقد,-2
ينتقد,-2
ينتقد,-2
النقاد,-2
قاسية,-3
القسوة,-3
معجب,-1
سحقت,-2
يسحق,-1
سحق,-1
بكاء,-1
بكاء,-2
مهبل,-5
فضولي,1
لعنة,-1
يقطع,-1
جذاب,2
التخفيضات,-1
قطع,-1
ساخر,-2
ساخر,-2
السخرية,-2
تلف,-3
الأضرار,-3
اللعنة,-4
ملعون,-4
عليك اللعنة,-4
خطر,-2
متهور,2
جرأة,2
أحلك,-2
الظلام,-1
شجاع,2
في ذمة الله تعالى,-3
طريق مسدود,-2
يصم الآذان,-1
العزيز,2
غاليا,3
الموت,-2
مبتهج,2
دَين,-2
خداع,-3
مخادع,-3
يخدع,-3
خدع,-3
يخدع,-3
خداع,-3
الخداع,-3
حاسم,1
مخلص,2
هزم,-2
خلل,-3
عيوب,-3
مدافع,2
المدافعين,2
غير محمي,-2
تأجيل,-1
تأجيل,-1
غير هياب جريء,-1
عجز,-2
تحط من قدر,-2
متدهورة,-2
يحط,-2
تجريد من الإنسانية,-2
مجردة من الإنسانية,-2
يجرد من إنسانيته,-2
تجريد من الإنسانية,-2
كئب,-2
مكتئب,-2
كآبة,-2
يحبط,-2
تأخير,-1
تأخير,-1
بهجة,3
مسرور,3
مبهج,3
المسرات,3
الطلب,-1
طالب,-1
متطلبا,-1
حفز,-1
برهنة,-1
محبط,-2
رفض,-2
منكر,-2
المنكرون,-2
ينفي,-2
التنديد,-2
يستنكر,-2
ينكر,-2
إنكار,-2
مكتئب,-2
محزن,-2
الخروج عن مساره,-2
خرج عن مساره,-2
يخرج عن مساره,-2
السخرية,-2
سخر منه,-2
يسخر,-2
السخرية,-2
السخرية,-2
مرغوب فيه,2
رغبة,1
مرغوب,2
راغب,2
اليأس,-3
اليأس,-3
اليأس,-3
متحرّق إلى,-3
فاقد الامل,-3
يائس,-3
هدم,-3
دمرت,-3
تدمير,-3
يدمر,-3
دمار,-3
مدمرة,-3
منفصل,-1
حجز,-2
محتجز,-2
احتجاز,-2
يحدد,2
يدمر,-2
دمر,-2
مدمر,-2
كرس,3
الماس,1
قضيب,-4
أحمق,-4
موت,-3
مات,-3
صعبة,-1
خجول,-2
معضلة,-1
ديبشيت,-3
رهيب,-3
رهيب,-3
التراب,-2
أقذر,-2
أقذر,-2
متسخ,-2
التعطيل,-1
عيب,-2
المحرومين,-2
يختفي,-1
اختفى,-1
يختفي,-1
يخيب,-2
خائب الامل,-2
مخيب للامال,-2
خيبة الامل,-2
خيبات الأمل,-2
خيبة أمل,-2
كارثة,-2
الكوارث,-2
كارثي,-3
كفر,-2
تجاهل,-1
مهملة,-1
نبذ,-1
المرتجع,-1
بائس,-2
عدم عزاء,-2
ساخط,-2
الخلاف,-2
مخفضة,-1
محبط,-2
فقدت مصداقيتها,-2
ازدراء,-2
عار,-2
عار,-2
تمويه,-1
متنكرا,-1
التنكر,-1
التنكر,-1
الاشمئزاز,-3
مشمئز,-3
مقزز,-3
بخيبة أمل,-2
غير شريفة,-2
بخيبة أمل,-2
غير راغب,-2
مفكك,-2
لم يعجبنى,-2
كئيب,-2
فزع,-2
اضطراب,-2
غير منظم,-2
مرتبك,-2
الاستخفاف,-2
استخفاف,-2
الاستخفاف,-2
الاستخفاف,-2
مستاء,-2
خلاف,-2
المتنازع عليها,-2
النزاعات,-2
المتنازع عليها,-2
غير مؤهل,-2
قلق,-2
تجاهل,-2
متجاهل,-2
تجاهل,-2
التجاهل,-2
عدم احترام,-2
قلل من احترامه,-2
خلل,-2
الاضطرابات,-2
مدمرة,-2
غير راض,-2
التشوه,-2
المحرفة,-2
مشوهة,-2
يشوه,-2
يصرف,-2
مشتت الذهن,-2
إلهاء,-2
يصرف,-2
محنة,-2
محزن,-2
المحن,-2
مؤلم,-2
عدم الثقة,-3
مرتاب,-3
إزعاج,-2
مختل,-2
مزعج,-2
يزعج,-2
التردد,-2
دائِخ,-1
المراوغة,-2
المراوغة,-2
لا يعمل,-3
حزين,-2
لا أحب,-2
الموت,-2
محكوم,-2
شك,-1
شك,-1
مشكوك فيه,-1
شك,-1
