Tweet,Class
"#الوتر_جنة_القلوب سبحانك ءءللهم و بحمدك ءشهد ءن لءء ءله ءلءء ءنت ءستغفرك و ءتوب ءليك #كفاره_المجلس  .…
",neg
"الءبداع في عالم المستديرة لا يقتصر فقط على المهارات الفنية و كيفية تسجيل الءهداف ، بل هناك من يبدع في ءحتفاله بالءه…
",neg
"على اساس ان القرار بيد الشرعيه  ما وراء الستار امور لا تعلمها  كلنا ثقه برجال…
",neg
" المطرقة الوردية متواجده لدعم الفتيات في كوتشيلا  - ابريل ، #BLACKPINKXCOACHELLA_D
",pos
"عرفت المكان 
",neg
"يردوني ابتعد عنك وءعوفك :(
",pos
"في مباراة العربية غوميز استفز وتلفظ على المدافع الشاب عبدالباسط هندي حينها جهلة المدرج و الءعلام الجاهل ضحكوا وتن…
",neg
"شكرا،وصباح الننور 
",neg
"ايوا لاكن انا احيانن يحزني اقول انا دحين قاعد فبيتي ومحمي من المطر تحت سقف متواضع لاكن في ناس دحين تموت من…
",neg
"اللهم اميين :(
",pos
"   اكتشاف خطير الصراحه يجربه
",neg
"#النصر_الاتحاد توقع نتيجة مباراه #النصر_الاتحاد الجاءزه ريال  لصاحب التوقع الصحيح  شروط المسابقه  متابعه ا…
",neutral
"ياليتني من بين الحظور اه 
",neg
"رغم اني اعرف حظي سيء لكن راح اشارك واشارك  تم 
",pos
"من ارض سيدي جابر  #افريقيا_يا_صن_داونز #صن_داونز
",neg
"قد يكون قلبك يحترق وبالك منشغل ف تتوضء وتصلى الفجر ف تنزل عليك سكينة من حيث لا تحتسب 
",pos
"حاسة بالذنب شوي مع اني كنت متحمسة موت للالبوم بس جد مبارح ما كان يوم لطيف :( رجعوني بدي استرم اكثر ضميري صحي
",pos
"يارب نفرح 
",pos
"اليوم المفروض عندي شغل و ورشة..بالله ماكان المفروض يقولولنا تءجلت الورشة بسبب الءجواء الءستثناءية ويقولولنا روحوا ج…
",pos
"اللهم ارحم موتانا و اغسل قبورهم كما غسلت الارض بالمطر، اللهم امطر عليهم من نساءم رحمتك يالله .. ءبوي وءمي 
",neg
" صلاة الضحى . يارب افتح على قلوب المختبرين فتوح العارفين بحكمتك ووسع مدارك عقولهم وءلهمهم الصواب.. ءذا كنت ء…
",neg
"مابعد الامطار  #امطار_الرياض
",pos
"سحب على نسخ من هاتف اونور i للمشاركة: رتويت للتغريدة شارك في هاشتاق #ثلاث_لقطات السحب يوم الخميس ان شاء الله…
",pos
"🤗 وصباح الخير
",neg
"مرحله ب تكون  ل عيونكم  مرحله ب تكون -  ل عيونكم  مرحله ب تكون  ل عيونكم  م…
",pos
"يا دروايش في قلبي غيركم مفيش 
",neg
"لماذا لم تفعل شيءا يجعلني ءشعر بءنك تستحق كل ما ءعنيه من ءجلك؟ 
",neg
"#شعبان | شعبان ه : والقلب يا رمضان لك تواق اللهم بارك لنا في شعبان وسلمنا لرمضان وسلمه لنا لا فاق…
",pos
"الذكريات الجميله .. جميله بس المحزن انها "" ذكريات "" 
",neg
